BetaP_SE_0, BetaP_SE_1, rho_0,gamma_ei,gamma_ir,Iteration,Time
-1.94421,-0.257637,0.282904,0.244583,0.117591,35000,12
-2.75245,-0.0524676,0.773624,0.281459,0.106088,36000,12
-1.90224,-0.1737,0.423945,0.253769,0.121344,37000,13
-2.2493,-0.205651,0.867529,0.260426,0.115006,38000,13
-2.27526,-0.129553,0.687529,0.364998,0.0948964,39000,13
-2.29851,-0.0900599,0.65872,0.299697,0.1069,40000,13
-2.73014,-0.208709,0.412621,0.302742,0.0902021,41000,14
-2.58703,-0.126181,0.93421,0.318027,0.1152,42000,14
-2.15379,-0.189531,0.336911,0.316774,0.106344,43000,14
-2.62307,-0.123858,0.378955,0.318897,0.0868118,44000,15
-2.45943,-0.242927,0.440814,0.320109,0.0936612,45000,15
-2.19695,-0.116188,0.450457,0.39816,0.113287,46000,15
-2.26455,-0.0655962,0.213939,0.289931,0.108681,47000,16
-2.12067,-0.153091,0.352053,0.250405,0.0831209,48000,16
-2.39854,-0.22089,0.599139,0.277492,0.127742,49000,16
-2.61711,-0.164616,0.620733,0.28678,0.123007,50000,16
-1.79462,-0.196983,0.50748,0.276111,0.117051,51000,17
-2.43584,-0.319548,0.709909,0.224962,0.0999717,52000,17
-2.08509,-0.175685,0.417457,0.301432,0.113139,53000,17
-2.3231,-0.209297,0.296553,0.29211,0.091172,54000,18
-1.97462,-0.152239,0.311153,0.271127,0.097401,55000,18
-1.95212,-0.225397,0.361192,0.251235,0.0865495,56000,18
-2.63685,-0.221196,0.63167,0.290174,0.1161,57000,19
-2.26215,-0.180081,0.257848,0.280973,0.100361,58000,19
-2.17328,-0.139922,0.530311,0.217999,0.113746,59000,19
-2.2874,-0.15279,0.529436,0.229565,0.0953064,60000,20
-2.54746,-0.136766,0.379627,0.257261,0.0939614,61000,20
-2.09269,-0.0764769,0.420639,0.275989,0.0931464,62000,20
-2.2287,-0.108351,0.555251,0.247336,0.132331,63000,21
-2.24494,-0.239142,0.470293,0.278994,0.136398,64000,21
-1.96675,-0.288397,0.45906,0.248367,0.0684259,65000,21
-2.13389,-0.0774787,0.331983,0.278972,0.122135,66000,22
-2.1808,-0.119115,0.391037,0.202914,0.114097,67000,22
-1.84201,-0.171389,0.417854,0.276107,0.0968491,68000,22
-2.42246,-0.189523,0.516467,0.237843,0.100703,69000,23
-2.14788,-0.172079,0.524015,0.322481,0.121196,70000,23
-2.23895,-0.166541,0.692112,0.193572,0.104141,71000,23
-2.13657,-0.186594,0.222489,0.297684,0.105424,72000,24
-1.97708,-0.233556,0.422758,0.207574,0.0950317,73000,24
-2.50216,-0.115141,0.641663,0.217234,0.0881284,74000,24
-1.84157,-0.393644,0.361667,0.23579,0.117024,75000,25
-2.02558,-0.260966,0.463236,0.304967,0.0992463,76000,25
-1.6298,-0.361609,0.392455,0.280717,0.0999579,77000,25
-2.63483,-0.165685,0.500604,0.258603,0.0918138,78000,26
-2.25755,-0.183704,0.718802,0.288,0.0960261,79000,26
-2.2922,-0.178939,0.533337,0.211916,0.0818561,80000,26
-2.05015,-0.13118,0.732089,0.234517,0.133641,81000,27
-2.1124,-0.20123,0.910596,0.177228,0.146996,82000,27
-2.11245,-0.22676,0.607983,0.208675,0.148181,83000,27
-1.96374,-0.182792,0.582535,0.231319,0.110589,84000,28
-2.03956,-0.162366,0.451898,0.259967,0.124034,85000,28
-2.04233,-0.194476,0.320085,0.217763,0.123126,86000,29
-1.79828,-0.162359,0.516202,0.247246,0.157145,87000,29
-2.31325,-0.134549,0.358085,0.253132,0.104642,88000,29
-2.16103,-0.120964,0.665418,0.281096,0.11859,89000,30
-1.71451,-0.278202,0.427949,0.203305,0.124575,90000,30
-2.26821,-0.0942551,0.483731,0.246642,0.152813,91000,31
-2.35271,-0.221489,0.751722,0.221329,0.125433,92000,31
-1.60346,-0.238928,0.218954,0.224132,0.108928,93000,31
-2.4966,-0.145949,0.867292,0.155998,0.09293,94000,32
-1.86447,-0.0790791,0.261723,0.219924,0.125654,95000,32
-2.09648,-0.0940107,0.30521,0.247506,0.109788,96000,32
-2.1987,-0.119793,0.412716,0.248994,0.093767,97000,33
-2.23173,-0.381868,0.655756,0.248914,0.104261,98000,33
-2.30157,-0.137642,0.511795,0.197636,0.139462,99000,33
-1.92406,-0.0770286,0.551533,0.203345,0.126104,100000,34
-2.01617,-0.128348,0.519969,0.208736,0.128894,101000,34
-1.85044,-0.191101,0.59478,0.247144,0.0928421,102000,34
-2.39149,-0.146105,0.874256,0.20885,0.136407,103000,35
-2.04548,-0.106304,0.603145,0.169919,0.101297,104000,35
-2.09286,-0.168513,0.417814,0.196323,0.104302,105000,35
-1.94989,-0.283455,0.360116,0.299206,0.115974,106000,36
-2.08772,-0.166758,0.295874,0.246724,0.0970195,107000,36
-2.18414,-0.26765,0.392045,0.188832,0.105794,108000,37
-1.87876,-0.252742,0.294833,0.17558,0.13267,109000,37
-2.01128,-0.187069,0.893461,0.218619,0.122309,110000,37
-1.87358,-0.13483,0.36275,0.233508,0.130057,111000,38
-1.67247,-0.184452,0.38622,0.192678,0.0992096,112000,38
-1.67693,-0.194643,0.288887,0.262094,0.158477,113000,38
-2.54128,-0.192461,0.926531,0.184343,0.114261,114000,39
-2.10536,-0.125256,0.498273,0.239853,0.0956089,115000,39
-1.64971,-0.207323,0.259834,0.236705,0.100295,116000,39
-2.13087,-0.215924,0.430216,0.234063,0.114323,117000,40
-2.14115,-0.17305,0.628774,0.227773,0.12509,118000,40
-2.02445,-0.313237,0.714837,0.194674,0.124301,119000,40
-2.06465,-0.100821,0.575733,0.234515,0.133831,120000,55
-1.92521,-0.179993,0.290118,0.236912,0.114495,121000,56
-2.03423,-0.186905,0.296603,0.225413,0.0792235,122000,58
-2.20007,-0.08584,0.616283,0.250071,0.170024,123000,60
-1.8222,-0.188373,0.186606,0.259651,0.209944,124000,61
-2.09922,-0.214514,0.286627,0.292383,0.141113,125000,63
-2.15483,-0.0579836,0.476397,0.256685,0.123219,126000,65
-1.66224,-0.176295,0.318589,0.215428,0.113763,127000,66
-2.30586,-0.0921135,0.277366,0.262353,0.0835469,128000,68
-2.28783,-0.309742,0.636426,0.200633,0.103953,129000,70
-1.97932,-0.125977,0.851303,0.260268,0.109838,130000,71
-2.16046,-0.151917,0.443398,0.214417,0.127378,131000,73
-1.90872,-0.201062,0.200933,0.237267,0.096673,132000,75
-1.74151,-0.285528,0.39423,0.261879,0.128863,133000,76
-1.90505,-0.491819,0.516828,0.252579,0.0925678,134000,78
-2.16389,-0.319158,0.660269,0.177531,0.122396,135000,79
-1.98082,-0.441411,0.568461,0.164439,0.124452,136000,81
-2.45611,-0.150556,0.626997,0.267471,0.0847964,137000,82
-1.85385,-0.449638,0.504497,0.284341,0.17307,138000,84
-1.94142,-0.206624,0.228754,0.303655,0.104651,139000,85
-2.03825,-0.38208,0.977187,0.243239,0.0880188,140000,87
-1.99947,-0.377,0.582523,0.304772,0.0884816,141000,88
-2.38358,-0.152593,0.325226,0.209024,0.0965373,142000,89
-1.80933,-0.345278,0.562799,0.202446,0.138252,143000,91
-2.34205,-0.160734,0.699984,0.209915,0.149414,144000,93
-1.90402,-0.195891,0.648163,0.265928,0.132969,145000,94
-1.92799,-0.288792,0.345357,0.250702,0.145594,146000,96
-1.9302,-0.220564,0.251568,0.238615,0.102179,147000,98
-2.18412,-0.307628,0.38076,0.249763,0.131095,148000,99
-1.74687,-0.242577,0.401027,0.228631,0.135035,149000,101
-1.63726,-0.141925,0.428535,0.226351,0.198439,150000,103
-2.10871,-0.225141,0.358334,0.224386,0.0951994,151000,104
-2.00297,-0.453736,0.608744,0.189926,0.181223,152000,106
-2.01065,-0.223781,0.780065,0.254689,0.175108,153000,108
-2.08103,-0.330511,0.486748,0.287742,0.093015,154000,109
-2.00451,-0.315213,0.67468,0.206472,0.160938,155000,111
-2.03854,-0.0986044,0.727375,0.240615,0.155122,156000,112
-2.06158,-0.268602,0.88002,0.195258,0.139573,157000,114
-2.56675,-0.558948,0.949746,0.201308,0.112634,158000,115
-1.92448,-0.112657,0.493697,0.216068,0.109933,159000,117
-2.19733,-0.170064,0.492354,0.236163,0.15888,160000,119
-2.12379,-0.198306,0.273815,0.203318,0.0807937,161000,120
-1.93122,-0.244421,0.34914,0.249504,0.131786,162000,122
-2.5324,-0.228908,0.659186,0.165371,0.104813,163000,123
-2.28278,-0.504985,0.765252,0.212878,0.107494,164000,125
-1.84986,-0.328252,0.226996,0.230287,0.0924328,165000,127
-1.90183,-0.249271,0.253474,0.167144,0.0729133,166000,129
-2.16799,-0.387915,0.260864,0.202457,0.0720612,167000,130
-1.85872,-0.618285,0.512819,0.215764,0.128336,168000,132
-2.25936,-0.245464,0.322787,0.311323,0.0987064,169000,134
-2.17957,-0.19619,0.804831,0.30751,0.105998,170000,136
-2.28955,-0.203145,0.526916,0.248382,0.100995,171000,137
-2.09321,-0.205307,0.690678,0.254016,0.106866,172000,139
-2.40301,-0.208431,0.341969,0.255652,0.107593,173000,141
-1.79822,-0.417983,0.1627,0.273427,0.108293,174000,142
-2.51702,-0.323213,0.941255,0.228953,0.104549,175000,144
-2.20948,-0.260533,0.711031,0.252789,0.138755,176000,146
-2.25322,-0.081648,0.482257,0.226975,0.137658,177000,147
-2.07322,-0.402802,0.640711,0.198041,0.116796,178000,149
-1.96358,-0.348029,0.526687,0.264717,0.093835,179000,150
-2.20024,-0.354426,0.578457,0.197814,0.150618,180000,151
-2.64023,-0.156169,0.547723,0.234409,0.0994737,181000,153
-2.65323,-0.350478,0.886021,0.32965,0.0846383,182000,155
-2.52046,-0.371686,0.758234,0.26924,0.10192,183000,156
-1.75314,-0.530082,0.178714,0.268822,0.12366,184000,158
-2.07253,-0.406216,0.537286,0.271384,0.105221,185000,160
-1.85296,-0.185249,0.458956,0.278714,0.124361,186000,162
-1.92617,-0.202615,0.389145,0.257176,0.0970864,187000,163
-2.3613,-0.334598,0.627391,0.18313,0.0731867,188000,164
-2.00021,-0.284855,0.530316,0.310283,0.134414,189000,166
-2.39589,-0.325018,0.742345,0.24805,0.0902678,190000,168
-2.2708,-0.358672,0.752099,0.234241,0.117564,191000,170
-2.28454,-0.13542,0.67136,0.261546,0.127242,192000,171
-2.2232,-0.172798,0.790964,0.276396,0.103528,193000,173
-2.38961,-0.223439,0.84265,0.281411,0.116967,194000,175
-2.19202,-0.174965,0.227235,0.299919,0.086474,195000,177
-2.28966,-0.253287,0.192262,0.182214,0.107113,196000,178
-2.10174,-0.173999,0.362669,0.238743,0.0868669,197000,180
-2.33201,-0.16786,0.280463,0.296712,0.124578,198000,180
-2.23692,-0.359253,0.330795,0.21339,0.0950113,199000,181
-2.60458,-0.243508,0.693779,0.193296,0.099864,200000,182
-2.3321,-0.19574,0.482061,0.215412,0.0878416,201000,184
-2.22665,-0.320595,0.547523,0.225168,0.100694,202000,186
-2.24921,-0.344924,0.570837,0.240049,0.124304,203000,188
-2.47974,-0.065487,0.459708,0.298281,0.117493,204000,189
-2.07079,-0.290647,0.307708,0.265249,0.077998,205000,191
-2.89874,-0.108709,0.517914,0.212454,0.107163,206000,193
-2.0262,-0.22794,0.609414,0.311716,0.121411,207000,195
-2.49486,-0.0641614,0.540444,0.232693,0.103195,208000,197
-1.72288,-0.276275,0.4024,0.316221,0.163072,209000,198
-2.1198,-0.09454,0.251558,0.286177,0.123828,210000,200
-2.10254,-0.202733,0.742036,0.263791,0.113252,211000,202
-2.34574,-0.297786,0.49764,0.23611,0.0983831,212000,204
-2.42504,-0.277017,0.6177,0.209406,0.154246,213000,206
-2.25214,-0.194235,0.417645,0.273593,0.0886115,214000,207
-2.36959,-0.210056,0.587119,0.235548,0.126468,215000,209
-2.43494,-0.34934,0.40371,0.212231,0.106283,216000,210
-2.20548,-0.115648,0.810876,0.32854,0.164929,217000,212
-1.97784,-0.216161,0.263103,0.327176,0.104591,218000,213
-2.10775,-0.248524,0.308465,0.24158,0.0871987,219000,215
-2.10055,-0.227354,0.375902,0.289198,0.0980824,220000,216
-2.39081,-0.16078,0.385913,0.262395,0.122147,221000,218
-2.25002,-0.0788779,0.493759,0.280978,0.102481,222000,220
-2.55425,-0.132779,0.614276,0.270331,0.108384,223000,221
-1.88537,-0.129999,0.586869,0.216959,0.134837,224000,223
-1.85929,-0.357885,0.375722,0.220049,0.0971309,225000,224
-1.48146,-0.431868,0.292347,0.230106,0.0975274,226000,226
-1.84906,-0.22952,0.5599,0.25654,0.166556,227000,228
-1.48175,-0.356479,0.452163,0.289142,0.157022,228000,230
-2.07275,-0.219036,0.524005,0.326488,0.170211,229000,232
-1.66124,-0.610269,0.569414,0.265014,0.0988776,230000,234
-1.89779,-0.314721,0.197875,0.290438,0.0935311,231000,236
-1.98702,-0.224216,0.523606,0.261805,0.142021,232000,237
-2.27867,-0.40796,0.940021,0.272085,0.116166,233000,239
-1.76579,-0.477441,0.6368,0.255071,0.127596,234000,241
-2.00003,-0.413682,0.947438,0.253592,0.111486,235000,243
-1.86536,-0.391022,0.319357,0.263439,0.116887,236000,244
-2.30272,-0.39074,0.764056,0.242561,0.117543,237000,246
-2.0905,-0.269131,0.84287,0.182972,0.152974,238000,247
-1.82955,-0.236829,0.304778,0.213808,0.115875,239000,248
-2.57306,-0.362431,0.994987,0.206529,0.0966752,240000,250
-2.18909,-0.438156,0.886475,0.205903,0.121933,241000,251
-2.13042,-0.42233,0.769325,0.282772,0.132526,242000,253
-2.13553,-0.578746,0.478629,0.284457,0.0862198,243000,254
-2.15975,-0.270676,0.823733,0.357419,0.0553386,244000,256
-2.65531,-0.110583,0.895647,0.292995,0.130601,245000,258
-2.54861,-0.410208,0.933969,0.189864,0.0911872,246000,260
-2.00129,-0.115002,0.247081,0.25575,0.109167,247000,262
-2.40849,-0.203141,0.936985,0.187435,0.156997,248000,264
-2.17636,-0.118007,0.808908,0.217563,0.16544,249000,266
-1.77373,-0.175626,0.378111,0.204748,0.129965,250000,268
-1.90042,-0.118011,0.655128,0.267484,0.151796,251000,269
-1.69706,-0.0854492,0.5058,0.193092,0.135485,252000,271
-2.21226,-0.278112,0.905819,0.219701,0.142959,253000,272
-1.76356,-0.212614,0.366906,0.219059,0.15005,254000,273
-2.01141,-0.118809,0.608201,0.236264,0.106315,255000,275
-2.19727,-0.197475,0.328801,0.266792,0.0579687,256000,276
-2.52213,-0.0711195,0.568024,0.263895,0.147757,257000,277
-2.48326,-0.294656,0.834827,0.210199,0.0866403,258000,279
-2.1656,-0.302263,0.848214,0.277683,0.073721,259000,280
-2.31855,-0.101521,0.520565,0.193155,0.102425,260000,283
-2.14733,-0.201141,0.380351,0.234694,0.101447,261000,285
-2.18442,-0.306489,0.99123,0.213979,0.170079,262000,286
-2.13994,-0.197423,0.805628,0.2156,0.163007,263000,288
-2.22581,-0.168059,0.62557,0.232424,0.162041,264000,289
-1.98098,-0.265155,0.450794,0.250697,0.13852,265000,291
-2.10388,-0.308999,0.828041,0.246458,0.120224,266000,292
-1.87807,-0.29828,0.71217,0.255944,0.112113,267000,294
-2.59966,-0.0351223,0.844068,0.25461,0.134827,268000,296
-2.312,-0.126064,0.394808,0.298914,0.124596,269000,298
-2.26475,-0.148248,0.394431,0.26219,0.112499,270000,300
-2.4367,-0.184861,0.916433,0.238269,0.124147,271000,301
-2.55198,-0.146008,0.861204,0.225534,0.0855048,272000,303
-2.32373,-0.132862,0.95286,0.216036,0.111095,273000,305
-2.41351,-0.153937,0.505957,0.231996,0.0932839,274000,307
-1.97588,-0.167664,0.528227,0.252743,0.136298,275000,309
-2.09823,-0.248029,0.666329,0.270371,0.175154,276000,311
-2.33742,-0.119434,0.413292,0.215049,0.109565,277000,312
-1.9652,-0.113613,0.275125,0.299667,0.191701,278000,314
-2.61932,-0.212264,0.812803,0.238294,0.131842,279000,315
-2.17479,-0.369124,0.816886,0.190796,0.141551,280000,317
-2.22434,-0.0419301,0.511317,0.33033,0.156587,281000,319
-1.89852,-0.359289,0.658754,0.25832,0.11834,282000,320
-2.18676,-0.0816602,0.849683,0.272119,0.184895,283000,322
-2.14428,-0.050538,0.871674,0.223597,0.149556,284000,323
-2.20275,-0.131017,0.471949,0.240911,0.14914,285000,325
-1.62431,-0.20587,0.525133,0.321859,0.114129,286000,327
-1.94878,-0.127173,0.425985,0.294743,0.161725,287000,329
-1.53583,-0.187325,0.637298,0.239743,0.181775,288000,330
-2.22777,-0.184684,0.777507,0.320066,0.176365,289000,332
-1.87246,-0.0947798,0.544509,0.25104,0.165508,290000,334
-2.12181,-0.210756,0.679861,0.246878,0.12611,291000,336
-1.90752,-0.103071,0.382333,0.263935,0.144227,292000,337
-1.69134,-0.154798,0.602389,0.22023,0.142238,293000,338
-2.7023,-0.0650777,0.554738,0.214962,0.124223,294000,339
-1.79242,-0.271089,0.458983,0.339902,0.153509,295000,340
-2.37675,-0.116462,0.729815,0.208519,0.156549,296000,342
-1.8409,-0.196029,0.521161,0.228377,0.185824,297000,343
-2.28358,-0.152416,0.925521,0.253792,0.0926581,298000,344
-1.5983,-0.374847,0.141006,0.260995,0.138481,299000,345
-2.26625,-0.261672,0.751361,0.277321,0.136378,300000,350
-2.49573,-0.484089,0.942692,0.193589,0.139433,301000,351
-2.30285,-0.331702,0.882343,0.144891,0.153849,302000,353
-2.23205,-0.296423,0.414095,0.257666,0.101404,303000,355
-2.28484,-0.165888,0.930656,0.24648,0.161978,304000,357
-1.83946,-0.548817,0.406714,0.194995,0.12921,305000,359
-2.02148,-0.338393,0.295654,0.267828,0.124686,306000,361
-2.31107,-0.0389427,0.433573,0.26681,0.171138,307000,362
-2.05625,-0.0986675,0.940852,0.162352,0.167971,308000,364
-1.84521,-0.123978,0.245204,0.23892,0.0995131,309000,366
-2.00952,-0.229122,0.240326,0.20605,0.135808,310000,368
-2.06042,-0.15829,0.787177,0.220298,0.129362,311000,370
-2.07738,-0.283017,0.769918,0.250497,0.126628,312000,372
-2.4704,-0.227189,0.474067,0.212679,0.0878143,313000,374
-2.49595,-0.146849,0.614432,0.24281,0.104202,314000,376
-2.10567,-0.169752,0.538089,0.187667,0.113025,315000,377
-1.94877,-0.20613,0.556901,0.217702,0.131348,316000,379
-2.08422,-0.152653,0.43914,0.272152,0.120475,317000,380
-2.36704,-0.226744,0.690376,0.235532,0.112122,318000,382
-2.26285,-0.114016,0.743928,0.233002,0.10933,319000,383
-1.94896,-0.111547,0.364266,0.245226,0.139393,320000,385
-2.14955,-0.221417,0.556968,0.225297,0.128469,321000,387
-1.72488,-0.159939,0.636417,0.235734,0.132205,322000,388
-2.01646,-0.3567,0.555374,0.221433,0.140759,323000,390
-1.94686,-0.239535,0.659851,0.249434,0.124968,324000,392
-2.54042,-0.262343,0.565318,0.177593,0.111627,325000,394
-2.35558,-0.102267,0.626467,0.275582,0.095572,326000,396
-1.69204,-0.244799,0.360998,0.285519,0.0907837,327000,398
-2.19692,-0.221439,0.342211,0.248974,0.0946768,328000,400
-2.36238,-0.246485,0.931445,0.275088,0.121055,329000,402
-1.94424,-0.243492,0.469717,0.260219,0.129121,330000,403
-1.93089,-0.219634,0.459655,0.178442,0.120704,331000,405
-1.65546,-0.134038,0.393063,0.282003,0.137127,332000,407
-2.10318,-0.0555906,0.265514,0.197401,0.113902,333000,409
-1.99284,-0.247112,0.426058,0.234863,0.0809456,334000,410
-2.06909,-0.215341,0.403463,0.202473,0.0881704,335000,412
-1.57392,-0.201027,0.274892,0.210964,0.111126,336000,413
-2.09415,-0.173379,0.341559,0.208153,0.137899,337000,415
-2.27448,-0.150556,0.774709,0.211116,0.142196,338000,416
-1.94506,-0.369717,0.468969,0.229891,0.133073,339000,418
-2.26829,-0.194357,0.515704,0.194951,0.115973,340000,419
-2.13858,-0.189355,0.536626,0.236022,0.120497,341000,420
-1.81091,-0.0770535,0.278861,0.222332,0.129323,342000,422
-1.80168,-0.235492,0.498969,0.201274,0.12139,343000,424
-2.03787,-0.275208,0.396049,0.259506,0.079289,344000,426
-2.34039,-0.279468,0.381436,0.308735,0.12968,345000,428
-1.96436,-0.291345,0.493075,0.242747,0.136522,346000,430
-2.23482,-0.422122,0.851825,0.236299,0.144474,347000,431
-2.15781,-0.146113,0.645858,0.27171,0.110886,348000,433
-2.48438,-0.207612,0.769161,0.168191,0.0831061,349000,435
-1.57864,-0.162495,0.380344,0.254792,0.179329,350000,437
-2.38296,-0.112209,0.44439,0.256871,0.123158,351000,439
-1.6185,-0.133518,0.376287,0.233614,0.165473,352000,441
-2.13386,-0.276768,0.223082,0.185304,0.178094,353000,443
-1.8448,-0.314623,0.980997,0.276249,0.1661,354000,444
-2.1533,-0.109037,0.83788,0.195705,0.170061,355000,446
-1.66028,-0.179937,0.378552,0.227225,0.133986,356000,447
-1.6064,-0.158932,0.628099,0.298569,0.148202,357000,448
-1.62486,-0.211707,0.752895,0.243971,0.167826,358000,450
-2.00381,-0.280952,0.42223,0.197786,0.147392,359000,451
-1.92358,-0.222009,0.832741,0.213233,0.112339,360000,454
-2.02741,-0.362474,0.729585,0.218123,0.121474,361000,456
-2.04857,-0.203129,0.756812,0.276817,0.106815,362000,458
-2.05273,-0.0648453,0.344696,0.271805,0.142044,363000,460
-1.8323,-0.350733,0.450227,0.317198,0.120232,364000,461
-2.05715,-0.244088,0.636016,0.275518,0.138223,365000,463
-2.03646,-0.243672,0.49063,0.229427,0.112297,366000,465
-1.98446,-0.233354,0.580126,0.28718,0.147386,367000,467
-1.91548,-0.150896,0.809812,0.256876,0.117773,368000,469
-1.78072,-0.267057,0.650857,0.305615,0.12592,369000,471
-1.93547,-0.261031,0.610031,0.289685,0.122876,370000,473
-1.79779,-0.249843,0.431787,0.270525,0.137696,371000,474
-1.46762,-0.25138,0.410088,0.293159,0.135549,372000,476
-2.40065,-0.142119,0.57481,0.303641,0.158341,373000,478
-2.05644,-0.215658,0.863694,0.253727,0.176307,374000,480
-1.87456,-0.164798,0.443608,0.264084,0.131929,375000,481
-2.02567,-0.163025,0.85248,0.230476,0.132079,376000,482
-2.40878,-0.158632,0.542305,0.271577,0.0915421,377000,484
-2.25273,-0.174363,0.706929,0.2581,0.146142,378000,485
-1.65118,-0.222723,0.369536,0.298542,0.140825,379000,487
-2.09965,-0.581328,0.792617,0.202452,0.0828444,380000,488
-1.58354,-0.230061,0.287132,0.271966,0.193646,381000,490
-1.93304,-0.212799,0.670008,0.206945,0.188615,382000,492
-1.96092,-0.181984,0.654506,0.305557,0.20142,383000,494
-1.62328,-0.227995,0.634537,0.242449,0.173489,384000,495
-1.77754,-0.228363,0.590312,0.223926,0.212081,385000,497
-1.9773,-0.304192,0.658849,0.323556,0.124396,386000,499
-1.95868,-0.237672,0.66595,0.248589,0.122422,387000,501
-1.69781,-0.777245,0.508589,0.308617,0.106621,388000,503
-1.81415,-0.315693,0.894252,0.265251,0.16904,389000,504
-2.01464,-0.206459,0.719078,0.174536,0.174498,390000,506
-2.05212,-0.403887,0.91332,0.253743,0.141031,391000,508
-1.54608,-0.422636,0.853349,0.223571,0.155102,392000,510
-1.38654,-0.12929,0.628227,0.271431,0.143716,393000,512
-1.44713,-0.193806,0.66094,0.247235,0.11331,394000,513
-1.89494,-0.152393,0.534544,0.222286,0.187229,395000,515
-1.94498,-0.274063,0.372503,0.256368,0.11775,396000,516
-1.49292,-0.392132,0.850605,0.2213,0.192701,397000,518
-1.85577,-0.159438,0.901101,0.317122,0.205352,398000,519
-1.51885,-0.159474,0.347483,0.328715,0.148274,399000,520
-1.52726,-0.213049,0.463542,0.257579,0.179714,400000,523
-1.86949,-0.299413,0.708068,0.267714,0.125439,401000,525
-1.78684,-0.447914,0.943756,0.264323,0.114272,402000,526
-1.41139,-0.504513,0.244489,0.238338,0.115826,403000,528
-1.64985,-0.208517,0.386811,0.306124,0.145996,404000,530
-2.23582,-0.205161,0.907364,0.277144,0.106185,405000,532
-1.67042,-0.406717,0.361423,0.268007,0.116005,406000,534
-2.29611,-0.11425,0.472928,0.216584,0.178194,407000,536
-2.11849,-0.216896,0.418759,0.200176,0.10358,408000,538
-2.20308,-0.369547,0.502735,0.234566,0.0885137,409000,539
-1.96054,-0.2935,0.60005,0.186535,0.0951239,410000,541
-2.05794,-0.602261,0.617431,0.242679,0.118486,411000,543
-1.62363,-0.327493,0.519122,0.274551,0.190202,412000,545
-1.73333,-0.221685,0.47585,0.232981,0.138736,413000,547
-1.97092,-0.463614,0.856487,0.300229,0.134012,414000,549
-2.25077,-0.212039,0.677062,0.237583,0.100551,415000,550
-2.12775,-0.249678,0.656244,0.178158,0.117343,416000,552
-1.77082,-0.235458,0.766625,0.197936,0.156166,417000,553
-1.68507,-0.338283,0.678333,0.225404,0.181179,418000,554
-2.01582,-0.397942,0.957699,0.235594,0.11942,419000,556
-1.72268,-0.325542,0.620224,0.244187,0.14132,420000,557
-1.45241,-0.343632,0.714889,0.239601,0.127019,421000,559
-1.41355,-0.247621,0.314161,0.190781,0.145742,422000,561
-1.98965,-0.338699,0.480982,0.208368,0.152893,423000,563
-2.04093,-0.0725754,0.58561,0.244738,0.140343,424000,565
-1.72142,-0.243822,0.423695,0.294362,0.109473,425000,567
-2.39278,-0.230982,0.932679,0.242892,0.151557,426000,569
-1.43479,-0.474994,0.361647,0.223976,0.145682,427000,570
-2.15673,-0.140971,0.964446,0.173143,0.114935,428000,571
-1.78702,-0.363003,0.577881,0.234356,0.156914,429000,572
-1.77763,-0.176284,0.622387,0.275493,0.148426,430000,573
